id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster
6ORqU0bHbVCRjXm9AjyHyZ,0.475,0.432,-7.844,0.0302,0.183,0.0,0.161,0.648,94.605,153467,9
0nFKHCf1Ibij8m370l2KlZ,0.631,0.689,-8.358,0.0284,0.0731,0.000357,0.102,0.645,107.667,225227,5
2374M0fQpWi3dLnB54qaLX,0.671,0.373,-18.064,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,295893,1
0oerlffJSzhRVvtDfLcp3N,0.252,0.802,-3.976,0.0391,0.13,0.0146,0.309,0.253,150.056,308667,4
5EWPGh7jbTNO2wakv8LjUI,0.249,0.834,-8.21,0.0577,0.0738,9.48e-05,0.0924,0.338,118.223,547107,6
7ACxUo21jtTHzy7ZEV56vU,0.454,0.913,-4.008,0.107,0.408,0.000271,0.248,0.521,137.688,293183,4
6KTv0Z8BmVqM7DPxbGzpVC,0.654,0.929,-5.906,0.0998,0.0468,0.0,0.0539,0.902,144.774,168840,5
4gMgiXfqyzZLMhsksGmbQV,0.693,0.394,-15.882,0.0428,0.0782,0.000694,0.247,0.721,104.114,238747,1
1Y373MqadDRtclJNdnUXVc,0.412,0.658,-12.051,0.0708,4.52e-05,0.000774,0.176,0.454,163.071,168406,4
3gdewACMIVMEWVbyb8O9sY,0.601,0.532,-9.119,0.0286,0.432,6.25e-06,0.0925,0.341,136.571,281613,9
3KhF2YiNpJvGpfiCW45R6D,0.472,0.9,-6.406,0.0582,0.148,0.000297,0.34,0.42,95.826,214960,4
1RJeiAIwR9pZBgJA8ndZLL,0.505,0.836,-7.384,0.101,0.0103,0.0771,0.295,0.764,159.669,204480,4
0K6yUnIKNsFtfIpTgGtcHm,0.581,0.854,-8.485,0.0428,0.00197,0.0013,0.111,0.788,131.18,259840,5
2aSFLiDPreOVP6KHiWk4lF,0.663,0.712,-7.268,0.0479,0.524,0.0,0.0804,0.527,113.439,236520,9
0NWPxcsf5vdjdiFUI8NgkP,0.346,0.768,-5.695,0.0377,0.00603,0.38,0.0244,0.532,169.492,210160,4
2N2yrmodOnVF10mKvItC9P,0.456,0.59,-8.638,0.0327,0.00182,0.00379,0.104,0.243,124.635,283733,4
4vO9dmzNRqDhFY3jD1a3P7,0.581,0.624,-8.346,0.0777,0.0987,0.0,0.0411,0.637,139.714,151293,4
78lgmZwycJ3nzsdgmPPGNx,0.564,0.932,-10.068,0.0554,0.013,0.169,0.349,0.619,112.937,146250,5
1gcESexgftSuLuML57Y69q,0.787,0.472,-12.824,0.0832,0.221,0.000336,0.153,0.824,120.059,330643,1
1UBQ5GK8JaQjm5VbkBZY66,0.601,0.859,-5.263,0.0276,0.000359,0.00124,0.0871,0.446,125.145,258027,4
0dOg1ySSI7NkpAe89Zo0b9,0.398,0.952,-6.042,0.061,0.000373,7.75e-05,0.1,0.584,122.093,278680,4
1HOMkjp0nHMaTnfAkslCQj,0.586,0.7,-9.558,0.0363,0.0589,0.00125,0.0318,0.897,147.245,295400,5
1JSTJqkT5qHq8MDJnJbRE1,0.82,0.452,-9.796,0.0348,0.543,0.00294,0.0714,0.74,117.401,253920,1
